SOURCE	TARGET	INTERACTION	N: -Log Student's T-test p-value Bait_GFP	N: Student's T-test q-value Bait_GFP	N: Student's T-test Difference Bait_GFP	N: Student's T-test Test statistic Bait_GFP	N: -Log Student's T-test p-value Bait_NLS	N: Student's T-test q-value Bait_NLS	N: Student's T-test Difference Bait_NLS	N: Student's T-test Test statistic Bait_NLS	"N: Max q-value (Bait_GFP; Bait_NLS)"	Experiment
C4B63_25g318	C4B63_39g335	interactor	265.547	0.00192241	277.644	51.049	442.141	0.000753623	362.897	107.695	0.00192241	BDF4				
C4B63_25g318	C4B63_83g42	interactor	470.903	0	490.304	120.799	496.107	0.00113043	430.717	133.485	0.00113043	BDF4				
C4B63_25g318	C4B63_52g127	proximal	320.052	0.000721311	0.681561	650.198	536.802	0.001625	162.288	156.662	0.001625	BDF4				
C4B63_25g318	BCY84_18670	proximal	38.939	0.00041958	505.011	869.657	505.371	0.0012093	125.645	138.456	0.0012093	BDF4				
C4B63_25g318	C4B63_81g33	proximal	526.639	0	465.782	150.539	378.683	0.00174074	178.369	832.181	0.00174074	BDF4				
C4B63_25g318	C4B63_31g548c	proximal	668.513	0	37.357	261.464	480.351	0.001	159.668	125.416	0.001	BDF4				
C4B63_25g318	C4B63_25g289	proximal	31.079	0.000767045	449.683	624.656	383.531	0.00130769	130.881	848.975	0.00130769	BDF4				
C4B63_25g318	C4B63_116g10	proximal	103.093	0.0406498	0.496215	199.455	244.017	0.0143082	252.817	461.631	0.0406498	BDF4				
C4B63_1g51	C4B63_7g80	interactor	561.775	0.000222222	210.145	17.274	531.323	0	219.004	153.332	0.000222222	BDF5				
C4B63_1g51	BCY84_19389	interactor	603.309	0.000315789	62.204	203.074	714.922	0	202.942	312.794	0.000315789	BDF5				
C4B63_1g51	C4B63_10g308	interactor	544.783	0.000194332	76.935	161.637	576.634	0	536.651	183.049	0.000194332	BDF5				
C4B63_1g51	C4B63_89g65	interactor	714.529	0.000842105	3.826	312.321	867.791	0	242.303	563.436	0.000842105	BDF5				
C4B63_1g51	C4B63_76g133	interactor	577.154	0.000247423	832.393	18.342	508.789	0.000666667	625.693	140.334	0.000666667	BDF5				
C4B63_1g51	C4B63_242g4	interactor	455.594	0.00037296	351.375	113.651	330.305	0.00255215	311.223	679.418	0.00255215	BDF5				
